#DEPT	六五最大主应力	六五最小主应力
268.70000000	4.62535006	4.033925437
268.80000000	4.626822203	4.034719522
268.90000000	4.628433528	4.035743041
269.00000000	4.63018378	4.036995639
269.10000000	4.632034662	4.038414187
269.20000000	4.634053379	4.040109582
269.30000000	4.636137749	4.041913285
269.40000000	4.638269835	4.043795714
269.50000000	4.640431206	4.045726467
269.60000000	4.642584487	4.047643885
269.70000000	4.644730455	4.049549249
269.80000000	4.646846894	4.051405905
269.90000000	4.64894558	4.053233279
270.00000000	4.651026088	4.055030667
270.10000000	4.653057456	4.056746979
270.20000000	4.655057043	4.05841085
270.30000000	4.657019044	4.060012696
270.40000000	4.658917161	4.061509112
270.50000000	4.6607931	4.062968909
270.60000000	4.662643648	4.064386781
270.70000000	4.664500491	4.065815019
270.80000000	4.666377326	4.067276233
270.90000000	4.668290285	4.068797054
271.00000000	4.670272886	4.07043282
271.10000000	4.672292188	4.072129165
271.20000000	4.674362943	4.073910449
271.30000000	4.676455187	4.07572721
271.40000000	4.678545429	4.077540674
271.50000000	4.680611589	4.079314386
271.60000000	4.682617034	4.080987864
271.70000000	4.684578035	4.082587962
271.80000000	4.68645511	4.084049486
271.90000000	4.688271021	4.085409999
272.00000000	4.690051927	4.086712683
272.10000000	4.691801691	4.087963906
272.20000000	4.69357218	4.089249321
272.30000000	4.695365317	4.090572104
272.40000000	4.697247793	4.09204241
272.50000000	4.699211391	4.093646686
272.60000000	4.701240763	4.095359596
272.70000000	4.703394451	4.097277844
272.80000000	4.705597712	4.099277981
272.90000000	4.707843807	4.10134888
273.00000000	4.710124466	4.103476885
273.10000000	4.712399033	4.105594838
273.20000000	4.71466736	4.107702499
273.30000000	4.716894662	4.109742408
273.40000000	4.7190989	4.111744231
273.50000000	4.721275542	4.113700482
273.60000000	4.72341192	4.115590232
273.70000000	4.725533129	4.117454935
273.80000000	4.72763625	4.119289765
273.90000000	4.729723531	4.121098433
274.00000000	4.731800638	4.122890299
274.10000000	4.73386265	4.124657233
274.20000000	4.73588067	4.126351492
274.30000000	4.737859671	4.127981285
274.40000000	4.739769435	4.129496686
274.50000000	4.741577672	4.13084433
274.60000000	4.743326737	4.132094178
274.70000000	4.744989335	4.133201116
274.80000000	4.746623494	4.134261011
274.90000000	4.748260854	4.135326144
275.00000000	4.749958167	4.13649031
275.10000000	4.751779933	4.137860126
275.20000000	4.753698281	4.13938955
275.30000000	4.75582165	4.141257832
275.40000000	4.758087577	4.143361743
275.50000000	4.760451193	4.145627127
275.60000000	4.762935563	4.148092105
275.70000000	4.765424633	4.150564857
275.80000000	4.767909986	4.153031475
275.90000000	4.770285667	4.155316841
276.00000000	4.772554498	4.157425623
276.10000000	4.77472833	4.159377403
276.20000000	4.776684092	4.160968768
276.30000000	4.77855198	4.162414883
276.40000000	4.780326797	4.163707141
276.50000000	4.782028035	4.164877746
276.60000000	4.783760502	4.166099941
276.70000000	4.785537232	4.167395276
276.80000000	4.787536577	4.169058614
276.90000000	4.789686727	4.170971265
277.00000000	4.792039254	4.173218498
277.10000000	4.79464073	4.175877301
277.20000000	4.797311845	4.178651229
277.30000000	4.800043996	4.181526053
277.40000000	4.80264053	4.184176685
277.50000000	4.805102199	4.186604385
277.60000000	4.807314592	4.188620029
277.70000000	4.80924055	4.190162178
277.80000000	4.811038066	4.191491985
277.90000000	4.812703267	4.192603019
278.00000000	4.814500478	4.193932268
278.10000000	4.816455672	4.195522696
278.20000000	4.818840589	4.197823608
278.30000000	4.821683201	4.200881243
278.40000000	4.824817016	4.204420283
278.50000000	4.828365908	4.208645427
278.60000000	4.831949355	4.212927544
278.70000000	4.835502971	4.217160211
278.80000000	4.838671523	4.220756342
278.90000000	4.84138281	4.223596713
279.00000000	4.843717483	4.225814661
279.10000000	4.845219738	4.226656842
279.20000000	4.846331129	4.226852891
279.30000000	4.84708405	4.226456208
279.40000000	4.847438027	4.225399696
279.50000000	4.847768861	4.224304513
279.60000000	4.848076584	4.223170699
279.70000000	4.848679579	4.222524825
279.80000000	4.849485995	4.222215123
279.90000000	4.850553913	4.222337769
280.00000000	4.852061529	4.223187652
280.10000000	4.853760949	4.224354783
280.20000000	4.855699875	4.22591812
280.30000000	4.857861009	4.227849068
280.40000000	4.860097831	4.229905241
280.50000000	4.862413322	4.232091573
280.60000000	4.864737763	4.234292718
280.70000000	4.867061314	4.2364924
280.80000000	4.869377175	4.238679368
280.90000000	4.87175409	4.240967351
281.00000000	4.874202862	4.243374222
281.10000000	4.876815145	4.246051605
281.20000000	4.879625291	4.249056315
281.30000000	4.882539241	4.252232732
281.40000000	4.885568772	4.255600317
281.50000000	4.888493038	4.25879375
281.60000000	4.891295571	4.261785804
281.70000000	4.893696946	4.264114307
281.80000000	4.895702994	4.265788909
281.90000000	4.897415227	4.266977492
282.00000000	4.898633076	4.267348208
282.10000000	4.899701927	4.267472316
282.20000000	4.900661139	4.267414888
282.30000000	4.901718802	4.267520195
282.40000000	4.902944584	4.26790356
282.50000000	4.904324894	4.268542539
282.60000000	4.906034146	4.269725808
282.70000000	4.907823243	4.271041188
282.80000000	4.909699865	4.2725014
282.90000000	4.911566642	4.27394531
283.00000000	4.913392212	4.27532101
283.10000000	4.915164142	4.276607917
283.20000000	4.916889338	4.277817455
